time,symbol,open,high,low,close,volume_from,volume_to
2020-08-16 00:00:00,ETH,432.63,436.95,412.94,433.85,430834.33,183747481.55
2020-08-17 00:00:00,ETH,433.85,447,420.72,431.26,508591.11,220294114.98
2020-08-18 00:00:00,ETH,431.28,426.14,415.73,422.19,762840.88,322064343.35
2020-08-19 00:00:00,ETH,422.38,426.84,394.63,407.85,593539.86,242013764.61
2020-08-20 00:00:00,ETH,407.85,419.09,402.63,416.04,594336.14,245429680.33
2020-08-21 00:00:00,ETH,416.04,418.78,385.2,387.98,833269.52,335992540.64
2020-08-22 00:00:00,ETH,387.98,397.18,379.8,395.46,704832.42,274291152.47
2020-08-23 00:00:00,ETH,395.46,397.58,383.56,390.72,400399.03,156583241.04
2020-08-24 00:00:00,ETH,390.72,410.39,387.72,408.03,668668.61,269045578.82
2020-08-25 00:00:00,ETH,408.03,409.1,370.38,383.34,657420.71,256111120.78
2020-08-26 00:00:00,ETH,383.34,393.33,377.76,386.02,338689.99,130709996.59
2020-08-27 00:00:00,ETH,385.98,387.86,377.32,382.99,841628.48,322334008.91
2020-08-28 00:00:00,ETH,382.99,398.08,388.28,395.54,713748.95,282317937.64
2020-08-29 00:00:00,ETH,395.54,404.11,392.52,398.95,623460.61,248727540.47
2020-08-30 00:00:00,ETH,398.95,430.11,407.15,429.18,990688.35,425180515.49
2020-08-31 00:00:00,ETH,429.18,436.58,420.61,434.14,1167183.52,506717370.21
2020-09-01 00:00:00,ETH,434.14,483.63,442.6,475.99,1764604.57,839941536.91
2020-09-02 00:00:00,ETH,475.81,481.22,421.58,439.83,892744.77,399846874.92
2020-09-03 00:00:00,ETH,439.83,450.71,374.19,382.46,1147290.59,473102908.76
2020-09-04 00:00:00,ETH,382.46,400.18,364.11,385.91,622038.92,239570368.52
2020-09-05 00:00:00,ETH,385.91,394.66,310.93,335.24,1499688.45,522017043.23
2020-09-06 00:00:00,ETH,335.24,360.31,316.82,352.69,958760.77,327280613.14
2020-09-07 00:00:00,ETH,352.69,358.54,323.67,353.7,693531.32,238264362.56
2020-09-08 00:00:00,ETH,353.7,356.57,325.75,337.45,655015.89,222558039.13
2020-09-09 00:00:00,ETH,337.45,359.2,331.01,351.15,547236.41,190044274.6
2020-09-10 00:00:00,ETH,351.15,377.54,350.44,368.09,674808.42,248139178.76
2020-09-11 00:00:00,ETH,368.09,375.31,356.15,373.99,441319.3,161816528.74
2020-09-12 00:00:00,ETH,374.03,388.14,369.96,388.04,698082.56,270883063.04
2020-09-13 00:00:00,ETH,388.04,383.85,357.71,366.28,1034609.9,378959151
2020-09-14 00:00:00,ETH,366.28,382.82,370.75,377.26,1111989.07,419514214.33
2020-09-15 00:00:00,ETH,377.26,382.28,362.54,364.16,872072.14,317572911.45
2020-09-16 00:00:00,ETH,364.16,370.9,363.23,365.09,779983.24,284764527.24
2020-09-17 00:00:00,ETH,365.09,394.57,364.04,389.54,1409168.77,548924125.68
2020-09-18 00:00:00,ETH,389.54,391.69,379.76,384.47,1017844.84,391327582.63
2020-09-19 00:00:00,ETH,384.47,389.7,382.61,385.27,646138.01,248935189.81
2020-09-20 00:00:00,ETH,385.27,380.84,369.05,371.02,717282.81,266122857.13
2020-09-21 00:00:00,ETH,371.06,376.42,332.74,340.19,675272.56,235743740.73
2020-09-22 00:00:00,ETH,340.19,346.8,335.89,344.25,387847.54,132686320.89
2020-09-23 00:00:00,ETH,344.25,344.61,314.7,320.19,492135.39,163392957.36
2020-09-24 00:00:00,ETH,320.19,352.84,317.14,349.18,530250.06,178780604.82
2020-09-25 00:00:00,ETH,349.18,358.04,338.01,352.02,455676.68,158007481.04
2020-09-26 00:00:00,ETH,352.05,355.52,348.76,354.23,517452.21,183296884.19
2020-09-27 00:00:00,ETH,354.23,361.72,353.42,357.73,548129.55,196081931.5
