time,symbol,open,high,low,close,volume_from,volume_to
2020-08-16 00:00:00,XRP,0.2992,0.3047,0.2924,0.3046,192659211.05,57625191
2020-08-17 00:00:00,XRP,0.3046,0.3274,0.2974,0.3157,408924824.75,128482397.18
2020-08-18 00:00:00,XRP,0.3157,0.3218,0.2995,0.3027,268969183.04,83412863.76
2020-08-19 00:00:00,XRP,0.3027,0.3061,0.2794,0.2899,270635250.69,79031256.38
2020-08-20 00:00:00,XRP,0.2899,0.2947,0.2847,0.2924,222838721.08,64816656.31
2020-08-21 00:00:00,XRP,0.2924,0.2959,0.2781,0.2792,289906940.02,83271856.33
2020-08-22 00:00:00,XRP,0.2792,0.2867,0.2734,0.2862,233153528.15,65178214.15
2020-08-23 00:00:00,XRP,0.2862,0.288,0.2775,0.2849,152091819.7,43097229.17
2020-08-24 00:00:00,XRP,0.2849,0.292,0.2825,0.2887,163061503.15,46927536.56
2020-08-25 00:00:00,XRP,0.2887,0.2896,0.2704,0.2767,183985675.8,51569492.25
2020-08-26 00:00:00,XRP,0.2767,0.2809,0.2743,0.2765,136379796.99,37843873.49
2020-08-27 00:00:00,XRP,0.2765,0.2785,0.2551,0.2646,204003733.79,54437101.7
2020-08-28 00:00:00,XRP,0.2646,0.2734,0.2602,0.2719,156236726.81,41949955.32
2020-08-29 00:00:00,XRP,0.2719,0.2771,0.269,0.2741,97428126.03,26636713.76
2020-08-30 00:00:00,XRP,0.2741,0.2839,0.274,0.2831,142291307.92,39775882.59
2020-08-31 00:00:00,XRP,0.2831,0.2845,0.2784,0.2814,172628470.35,48596940.76
2020-09-01 00:00:00,XRP,0.2814,0.299,0.2763,0.2955,210884947.57,61333951.9
2020-09-02 00:00:00,XRP,0.2955,0.3039,0.2667,0.2762,256586836.33,72986213.96
2020-09-03 00:00:00,XRP,0.2762,0.2767,0.2403,0.2449,258889543.5,67902305.1
2020-09-04 00:00:00,XRP,0.2449,0.2657,0.2414,0.2545,176847508.19,44555535.48
2020-09-05 00:00:00,XRP,0.2545,0.2595,0.2316,0.2375,203581177.49,49648341.27
2020-09-06 00:00:00,XRP,0.2375,0.2461,0.2301,0.2399,155281130.49,36932833.7
2020-09-07 00:00:00,XRP,0.2399,0.2429,0.2301,0.2422,132584444.96,31469757.36
2020-09-08 00:00:00,XRP,0.2422,0.2437,0.2313,0.2366,144462909.88,34199644.26
2020-09-09 00:00:00,XRP,0.2366,0.243,0.2332,0.2392,121860470.7,29129499.95
2020-09-10 00:00:00,XRP,0.2392,0.2488,0.2391,0.2432,140827191.19,34440282.56
2020-09-11 00:00:00,XRP,0.2432,0.2446,0.237,0.2427,102238639.98,24696146.34
2020-09-12 00:00:00,XRP,0.2427,0.2487,0.2403,0.2476,72668329.6,17760762.29
2020-09-13 00:00:00,XRP,0.2476,0.2534,0.2379,0.2422,103547998.27,25398424.02
2020-09-14 00:00:00,XRP,0.2422,0.2491,0.2393,0.2457,107491746.33,26349630.03
2020-09-15 00:00:00,XRP,0.2457,0.2492,0.2424,0.2433,117376204.39,28833489.16
2020-09-16 00:00:00,XRP,0.2433,0.2511,0.2346,0.2468,141723939.86,34482917.3
2020-09-17 00:00:00,XRP,0.2468,0.2583,0.2462,0.2523,157207134.62,39629658.35
2020-09-18 00:00:00,XRP,0.2523,0.2552,0.2464,0.2508,131843133.25,33106517.97
2020-09-19 00:00:00,XRP,0.2508,0.2548,0.2474,0.2512,94714907.11,23749199.79
2020-09-20 00:00:00,XRP,0.2512,0.2512,0.2427,0.2465,79391180.21,19624814.7
2020-09-21 00:00:00,XRP,0.2465,0.248,0.2295,0.2309,159105834.22,37671424.3
2020-09-22 00:00:00,XRP,0.2309,0.2345,0.2298,0.2331,120097318.48,27845036.96
2020-09-23 00:00:00,XRP,0.2331,0.2352,0.2207,0.2215,126194707.64,28883026.86
2020-09-24 00:00:00,XRP,0.2215,0.2338,0.2196,0.2329,138197322.85,31363754.56
2020-09-25 00:00:00,XRP,0.2329,0.2449,0.2297,0.2415,154103409.86,36575466.49
2020-09-26 00:00:00,XRP,0.2415,0.2455,0.2381,0.2416,78899145.52,19105669.05
2020-09-27 00:00:00,XRP,0.2416,0.2448,0.2376,0.2433,63829849.75,15401816.5
2020-09-28 00:00:00,XRP,0.2433,0.2484,0.2398,0.241,111391513.42,27284076.32
2020-09-29 00:00:00,XRP,0.241,0.2466,0.2385,0.2428,103109029.67,24970348.76
2020-09-30 00:00:00,XRP,0.2428,0.2428,0.2377,0.2418,90632998.69,21797053.09
2020-10-01 00:00:00,XRP,0.2418,0.2445,0.234,0.2381,109891472.07,26375512
2020-10-02 00:00:00,XRP,0.2381,0.2393,0.2288,0.2341,128008804.82,29816766.52
2020-10-03 00:00:00,XRP,0.2341,0.235,0.2328,0.2329,46304163.02,10826573.84
2020-10-04 00:00:00,XRP,0.2329,0.2501,0.2318,0.248,129525293.66,31396973.5
2020-10-05 00:00:00,XRP,0.248,0.2543,0.2466,0.2503,163024449.8,40795850.8
2020-10-06 00:00:00,XRP,0.2503,0.2593,0.2406,0.2456,241578180.1,60672128.92
2020-10-07 00:00:00,XRP,0.2456,0.2513,0.241,0.2488,127931206.12,31576895.07
2020-10-08 00:00:00,XRP,0.2488,0.2535,0.2422,0.2514,119627096.44,29699909.4
2020-10-09 00:00:00,XRP,0.2514,0.2567,0.2497,0.2532,124699325.23,31434097.81
2020-10-10 00:00:00,XRP,0.2532,0.2601,0.2531,0.2542,105627774.06,27108353.79
2020-10-11 00:00:00,XRP,0.2542,0.2584,0.2535,0.2555,62608500.44,16021608.5
2020-10-12 00:00:00,XRP,0.2555,0.2584,0.2493,0.2563,109132198.05,27844850.57
2020-10-13 00:00:00,XRP,0.2563,0.26,0.2528,0.2568,125800976.99,32227073.02
2020-10-14 00:00:00,XRP,0.2568,0.2585,0.2463,0.2493,146598281.79,36962186.88
2020-10-15 00:00:00,XRP,0.2493,0.2503,0.2433,0.2461,133704649.94,32993744.24
2020-10-16 00:00:00,XRP,0.2461,0.248,0.238,0.2402,121043529.99,29248624.94
2020-10-17 00:00:00,XRP,0.2402,0.2432,0.2389,0.2407,58373262.43,14078303.64
2020-10-18 00:00:00,XRP,0.2407,0.2437,0.2402,0.2423,49136851.82,11896997.63
2020-10-19 00:00:00,XRP,0.2423,0.2496,0.2403,0.2457,117886048.66,28980860.97
2020-10-20 00:00:00,XRP,0.2457,0.2503,0.2417,0.2435,121273139.64,29740183.33
2020-10-21 00:00:00,XRP,0.2435,0.2558,0.2429,0.2514,187139671.44,46863852.07
2020-10-22 00:00:00,XRP,0.2514,0.2639,0.2514,0.2575,197302070.27,51140120.81
2020-10-23 00:00:00,XRP,0.2575,0.2595,0.2504,0.255,111899247.36,28606974.96
2020-10-24 00:00:00,XRP,0.255,0.2579,0.2528,0.2564,68080469.78,17388614.47
2020-10-25 00:00:00,XRP,0.2564,0.2574,0.2516,0.2533,59644518.3,15141033.24
2020-10-26 00:00:00,XRP,0.2533,0.2592,0.2438,0.2484,129569458.23,32631090.91
2020-10-27 00:00:00,XRP,0.2484,0.2541,0.2478,0.2528,88578215.4,22235708.22
2020-10-28 00:00:00,XRP,0.2528,0.2567,0.2446,0.2458,71612265.26,17801621.48
2020-10-29 00:00:00,XRP,0.2458,0.2472,0.2399,0.2424,91910029.73,22460525.86
2020-10-30 00:00:00,XRP,0.2424,0.2442,0.2319,0.2393,174895884.11,41655759.82
2020-10-31 00:00:00,XRP,0.2393,0.2438,0.2378,0.2399,94083576.83,22614770.29
2020-11-01 00:00:00,XRP,0.2399,0.2414,0.2368,0.24,55498541.96,13290597.9
2020-11-02 00:00:00,XRP,0.24,0.2448,0.2332,0.2356,96638117.96,22971381.22
2020-11-03 00:00:00,XRP,0.2356,0.2434,0.229,0.2395,85104689.16,20112599.59
2020-11-04 00:00:00,XRP,0.2395,0.2406,0.2326,0.2379,70185980.5,16635045.69
2020-11-05 00:00:00,XRP,0.2379,0.2475,0.2328,0.2458,92459423.94,22313524.67
2020-11-06 00:00:00,XRP,0.2458,0.2616,0.2455,0.2589,110842491.32,28264283.53
2020-11-07 00:00:00,XRP,0.2589,0.2675,0.2449,0.2494,90389604.07,23301520.51
2020-11-08 00:00:00,XRP,0.2494,0.2571,0.2478,0.2538,47838719.35,12114705.4
2020-11-09 00:00:00,XRP,0.2538,0.2562,0.2459,0.2506,77748492.62,19504487.66
2020-11-10 00:00:00,XRP,0.2506,0.2643,0.2485,0.2542,110784355.4,28352998.82
2020-11-11 00:00:00,XRP,0.2542,0.2601,0.2527,0.2562,138864745.12,35706685.98
2020-11-12 00:00:00,XRP,0.2562,0.2583,0.2526,0.255,129912885.92,33162811.28
2020-11-13 00:00:00,XRP,0.255,0.266,0.2541,0.266,170952805.01,44471942.48
2020-11-14 00:00:00,XRP,0.266,0.2776,0.2617,0.2685,260645941.49,70209268.67
2020-11-15 00:00:00,XRP,0.2685,0.2771,0.2643,0.2697,160539630.19,43608127.62
2020-11-16 00:00:00,XRP,0.2697,0.2899,0.2677,0.2881,229730235.36,64466900.4
2020-11-17 00:00:00,XRP,0.2881,0.3053,0.2877,0.3027,356757871.18,106528244.35
2020-11-18 00:00:00,XRP,0.3027,0.3083,0.2827,0.2936,326528188.97,96001121.05
2020-11-19 00:00:00,XRP,0.2936,0.3069,0.2842,0.3042,282395707.37,83796915.62
2020-11-20 00:00:00,XRP,0.3042,0.3312,0.2973,0.3303,392647234.07,123107862.4
2020-11-21 00:00:00,XRP,0.3303,0.4694,0.3298,0.4631,1249467987.13,495958731.46
